Country,ISO code,Period,Reference ,,Total fertility,Age-specific fertility rates,,,,,,,Mean age at childbearing ,Source type,Source,Survey name,Note on country or population,Note on age,Note on methods,Note on population data used in denominator,
British Virgin Islands,92,Around 2005,2004,,1,43,124,94,83,41,12,,27,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
British Virgin Islands,92,Latest,2007,,1,27,77,74,54,23,9,..,27,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
Brunei Darussalam,96,Around 1970,1970,,5,78,323,302,232,153,57,23,28,Registration,UNSD,,,,,,
Brunei Darussalam,96,Around 1985,1985,,3,43,180,216,154,88,30,7,28,Registration,UNSD,,,,,,
Brunei Darussalam,96,Around 1995,1996,,2,30,110,141,140,92,30,4,29,Registration,UNSD,,,,,,
Brunei Darussalam,96,Around 2005,2002,,2,28,98,113,117,70,26,2,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Brunei Darussalam,96,Latest,2008,,1,18,74,113,80,51,14,1,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bulgaria,100,Around 1970,1970,,2,71,189,112,45,15,3,0,24,Registration,UNSD,,,,,,
Bulgaria,100,Around 1985,1985,,1,77,180,93,33,10,2,0,24,Registration,UNSD,,,,,,
Bulgaria,100,Around 1995,1995,,1,52,100,61,23,8,2,0,24,Registration,UNSD,,,,,,
Bulgaria,100,Around 2005,2005,,1,38,79,81,47,14,2,0,26,Registration,UNSD,,,,,,
Bulgaria,100,Latest,2010,,1,41,74,88,65,26,4,0,27,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Burkina Faso,854,..,1976,,6,171,324,283,238,183,98,39,29,Survey,National statistics,Burkina Faso 1976 Enquête Post-Censitaire,,,,,
Burkina Faso,854,Around 1985,1985,1984-1985,7,152,328,321,279,215,104,38,29,Census,National statistics,,,,,,
Burkina Faso,854,Around 1995,1997,1996-1999,6,131,293,282,247,199,104,31,29,Survey,DHS,Burkina Faso 1998-1999 Demographic and Health Survey,,,,,
Burkina Faso,854,Around 2005,2002,2000-2003,5,119,265,256,233,177,92,35,29,Survey,DHS,Burkina Faso 2003 Demographic and Health Survey,,,,,
Burkina Faso,854,Latest,2009,2008-2011,6,130,264,269,237,189,87,23,29,Survey,DHS-MICS,Burkina Faso 2010 Demographic and Health Survey,,,,,
Burundi,108,Around 1970,1970,,6,51,252,299,273,218,108,26,30,Survey,National statistics,Burundi 1970-1971 Demographic Survey,,,,,
Burundi,108,Around 1985,1985,1984-1987,6,51,274,327,286,246,124,82,31,Survey,DHS,Burundi 1987 Demographic and Health Survey,,,,,
Burundi,108,Around 1995,1990,,6,33,254,318,299,249,131,53,31,Census,National statistics,,,,,,
Burundi,108,Around 2005,2001,1999-2002,5,30,200,280,260,200,120,30,31,Survey,National statistics,Burundi 2002 Enquête Socio-démographique et de Santé de la Reproduction,,,,,
Burundi,108,Latest,2009,2007-2010,6,65,281,302,269,225,104,31,30,Survey,DHS,Burundi 2010 Demographic and Health Survey,,,,,
Cambodia,116,..,1962,1961-1962,7,102,306,323,295,233,118,25,30,Census,National statistics,,,,,,
Cambodia,116,Around 1995,1993,1990-1995,5,90,243,271,239,187,98,0,29,Survey,National statistics,Cambodia 1995 KAP Survey on Fertility and Contraception,,,,,
Cambodia,116,..,1998,1997-2000,3,44,178,192,160,111,57,13,29,Survey,DHS,Cambodia 2000 Demographic and Health Survey,,,,,
Cambodia,116,Around 2005,2004,2002-2005,3,47,175,180,142,91,41,5,29,Survey,DHS,Cambodia 2005 Demographic and Health Survey,,,,,
Cambodia,116,Latest,2009,2007-2010,3,46,173,167,121,71,28,4,28,Survey,DHS,Cambodia 2010 Demographic and Health Survey,,,,,
Cameroon,120,..,1976,1973-1978,6,186,295,277,220,155,106,36,28,Survey,WFS,Cameroon 1978 World Fertility Survey,,,,,
Cameroon,120,Around 1985,1989,1988-1991,5,164,282,260,228,149,62,20,28,Survey,DHS,Cameroon 1991 Demographic and Health Survey,,,,,
Cameroon,120,Around 1995,1996,1995-1998,4,137,226,221,185,123,49,20,28,Survey,DHS,Cameroon 1998 Demographic and Health Survey,,,,,
Cameroon,120,Around 2005,2002,2001-2004,4,138,236,231,194,126,53,16,28,Survey,DHS,Cameroon 2004 Demographic and Health Survey,,,,,
Cameroon,120,Latest,2010,2008-2011,5,127,232,250,207,129,57,16,28,Survey,DHS-MICS,Cameroon 2011 Demographic and Health Survey,,,Preliminary data.,,
Canada,124,Around 1970,1970,,2,42,138,142,79,38,11,1,27,Registration,UNSD,,,,,,
Canada,124,Around 1985,1985,,1,23,85,123,73,21,3,0,27,Registration,UNSD,,,,,,
Canada,124,Around 1995,1995,,1,24,71,110,87,31,5,0,28,Registration,UNSD,,,,,,
Canada,124,Around 2005,2005,,1,13,52,98,98,42,7,0,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Canada,124,Latest,2009,,1,14,51,101,107,51,9,0,29,Registration,UNSD,,,,Postcensal estimates.,,
Cape Verde,132,Around 1970,1970,1969-1972,5,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Cape Verde,132,Around 1985,1980,1979-1980,7,54,244,323,305,275,160,38,31,Census,National statistics,,,,,,
Cape Verde,132,Around 1995,1996,1995-1998,4,100,196,190,150,109,59,2,28,Survey,RHS,Cape Verde 1998 Demographic and Reproductive Health Survey,,,,,
Cape Verde,132,Around 2005,2000,,3,92,186,172,148,115,63,20,29,Census,National statistics,,,,,,
Cape Verde,132,Latest,2004,2002-2005,2,90,145,139,98,66,36,6,27,Survey,RHS,Cape Verde 2005 Demographic and Reproductive Health Survey,,,,,
Cayman Islands,136,Around 1970,1970,,4,107,143,183,204,111,74,27,29,Census,National statistics,,,,,,
Cayman Islands,136,Around 1985,1986,,1,55,103,114,51,27,8,0,26,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cayman Islands,136,Around 1995,1994,,1,62,87,73,76,24,7,4,26,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cayman Islands,136,Around 2005,2009,,1,32,82,95,101,48,15,0,28,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cayman Islands,136,Latest,2010,,1,32,89,85,95,62,10,5,29,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Central African Republic,140,Around 1970,1975,1974-1975,5,172,278,251,209,136,78,45,28,Census,National statistics,,,,,,
Central African Republic,140,Around 1985,1988,1987-1988,6,170,260,247,208,147,99,83,29,Census,National statistics,,,,,,
Central African Republic,140,Around 1995,1993,1991-1994,5,155,237,231,192,117,60,23,28,Survey,DHS,Central African Republic 1994-1995 Demographic and Health Survey,,,,,
Central African Republic,140,Latest,2003,,5,133,220,221,191,144,80,41,29,Census,National statistics,,,,Adjusted estimate.,,
Chad,148,..,1963,,5,162,268,218,159,122,60,26,28,Survey,National statistics,Chad 1963-1964 Population Survey,,,,,
Chad,148,Around 1995,1995,1994-1997,6,190,304,300,242,156,67,15,28,Survey,DHS,Chad 1996-1997 Demographic and Health Survey,,,,,
Chad,148,Around 2005,2003,2002-2005,6,187,295,275,263,163,73,13,28,Survey,DHS,Chad 2004 Demographic and Health Survey,,,,,
Chile,152,Around 1970,1970,,3,72,184,186,138,84,43,7,28,Registration,UNSD,,,,,,
Chile,152,Around 1985,1985,,2,56,131,129,87,48,15,1,27,Registration,UNSD,,,,,,
Chile,152,Around 1995,1995,,2,63,118,113,88,49,14,1,27,Registration,UNSD,,,,,,
Chile,152,Around 2005,2005,,1,49,83,92,81,46,13,1,28,Registration,UNSD,,,,,,
Chile,152,Latest,2009,,1,54,85,95,85,51,14,1,28,Registration,UNSD,,,,,,
China,156,Around 1970,1970,,5,39,278,308,252,179,83,10,29,Survey,National statistics,China 1982 National One-per-Thousand-Population Sample Survey on Fertility,,,,,
China,156,Around 1985,1986,,2,19,208,156,63,19,6,1,26,Survey,National statistics,China 1986 Annual Population Change Survey (1‰ Survey),,,,,
China,156,Around 1995,1994,,1,5,161,144,47,10,4,1,26,Survey,National statistics,China 1994 Annual Population Change Survey (1‰ Survey),,,,,
China,156,Around 2005,2005,2004-2005,1,6,114,92,40,11,2,1,26,Survey,National statistics,China 2005 One-percent Sample Survey,,,,,
China,156,Latest,2008,2007-2008,1,5,95,101,54,22,10,7,28,Survey,National statistics,China 2008 Annual Population Change Survey (1‰ Survey),,,,,
"China, Hong Kong SAR",344,Around 1970,1970,,3,18,135,230,159,86,30,4,29,Registration,UNSD,,,,,,
"China, Hong Kong SAR",344,Around 1985,1985,,1,8,57,118,79,27,5,0,28,Registration,UNSD,,,,,,
"China, Hong Kong SAR",344,Around 1995,1995,,1,6,38,77,76,30,5,0,29,Registration,UNSD,,,,,,
"China, Hong Kong SAR",344,Around 2005,2005,,0,4,34,64,62,28,5,0,29,Registration,UNSD,,,,,,
"China, Hong Kong SAR",344,Latest,2011,,1,3,27,64,87,52,9,0,31,Registration,National statistics,,Data pertain to resident population only.,,,,
"China, Macao SAR",446,Around 1970,1970,,2,3,68,130,90,78,35,4,31,Registration,UNSD,,,,,,
